game_id,date,season,game_type,home_team,away_team,home_score,away_score,home_win,home_rest_days,away_rest_days,home_b2b,away_b2b
401404146,2022-08-27,2022,regular,Utah State,UConn,31,20,1,7.0,7.0,0,0
401405058,2022-08-27,2022,regular,Illinois,Wyoming,38,6,1,7.0,7.0,0,0
401405059,2022-08-27,2022,regular,Northwestern,Nebraska,31,28,1,7.0,7.0,0,0
401411090,2022-08-27,2022,regular,Florida State,Duquesne,47,7,1,7.0,7.0,0,0
401413256,2022-08-27,2022,regular,UNLV,Idaho State,52,21,1,7.0,7.0,0,0
401426530,2022-08-27,2022,regular,FAU,Charlotte,43,13,1,7.0,7.0,0,0
401426532,2022-08-27,2022,regular,Western Kentucky,Austin Peay,38,27,1,7.0,7.0,0,0
401403853,2022-08-28,2022,regular,Hawaii,Vanderbilt,10,63,0,7.0,7.0,0,0
401409235,2022-08-28,2022,regular,New Mexico State,Nevada,12,23,0,7.0,7.0,0,0
401411091,2022-08-28,2022,regular,North Carolina,Florida A&M,56,24,1,7.0,7.0,0,0
401426531,2022-08-28,2022,regular,UTEP,North Texas,13,31,0,7.0,7.0,0,0
401403864,2022-09-01,2022,regular,Tennessee,Ball State,59,10,1,7.0,7.0,0,0
401411092,2022-09-01,2022,regular,Pitt,West Virginia,38,31,1,7.0,7.0,0,0
401411093,2022-09-01,2022,regular,Wake Forest,VMI,44,10,1,7.0,7.0,0,0
401415610,2022-09-01,2022,regular,UCF,South Carolina State,56,10,1,7.0,7.0,0,0
401416568,2022-09-01,2022,regular,Akron,St. Francis (PA),30,23,1,7.0,7.0,0,0
401416569,2022-09-01,2022,regular,Oklahoma State,Central Michigan,58,44,1,7.0,7.0,0,0
401426533,2022-09-01,2022,regular,FIU,Bryant,38,37,1,7.0,7.0,0,0
401441990,2022-09-01,2022,regular,Toledo,Long Island University,37,0,1,7.0,7.0,0,0
401403965,2022-09-02,2022,regular,Arizona State,Northern Arizona,40,3,1,7.0,7.0,0,0
401405060,2022-09-02,2022,regular,Minnesota,New Mexico State,38,0,1,7.0,5.0,0,0
401405064,2022-09-02,2022,regular,Purdue,Penn State,31,35,0,7.0,7.0,0,0
401411094,2022-09-02,2022,regular,Duke,Temple,30,0,1,7.0,7.0,0,0
401413224,2022-09-02,2022,regular,Fresno State,Cal Poly,35,7,1,7.0,7.0,0,0
401415213,2022-09-02,2022,regular,San Jose State,Portland State,21,17,1,7.0,7.0,0,0
401416590,2022-09-02,2022,regular,Eastern Michigan,Eastern Kentucky,42,34,1,7.0,7.0,0,0
401416591,2022-09-02,2022,regular,Michigan State,Western Michigan,35,13,1,7.0,7.0,0,0
401416592,2022-09-02,2022,regular,Northern Illinois,Eastern Illinois,34,27,1,7.0,7.0,0,0
401426330,2022-09-02,2022,regular,Old Dominion,Virginia Tech,20,17,1,7.0,7.0,0,0
401426534,2022-09-02,2022,regular,UAB,Alabama A&M,59,0,1,7.0,7.0,0,0
401426535,2022-09-02,2022,regular,Charlotte,William & Mary,24,41,0,6.0,7.0,0,0
401426537,2022-09-02,2022,regular,Missouri,Louisiana Tech,52,24,1,7.0,7.0,0,0
401403854,2022-09-03,2022,regular,Alabama,Utah State,55,0,1,7.0,7.0,0,0
401403855,2022-09-03,2022,regular,Arkansas,Cincinnati,31,24,1,7.0,7.0,0,0
401403856,2022-09-03,2022,regular,Auburn,Mercer,42,16,1,7.0,7.0,0,0
401403857,2022-09-03,2022,regular,Florida,Utah,29,26,1,7.0,7.0,0,0
401403858,2022-09-03,2022,regular,Georgia,Oregon,49,3,1,7.0,7.0,0,0
401403859,2022-09-03,2022,regular,Kentucky,Miami (OH),37,13,1,7.0,7.0,0,0
401403860,2022-09-03,2022,regular,Ole Miss,Troy,28,10,1,7.0,7.0,0,0
401403861,2022-09-03,2022,regular,Mississippi State,Memphis,49,23,1,7.0,7.0,0,0
401403863,2022-09-03,2022,regular,South Carolina,Georgia State,35,14,1,7.0,7.0,0,0
401403865,2022-09-03,2022,regular,Texas A&M,Sam Houston,31,0,1,7.0,7.0,0,0
401403866,2022-09-03,2022,regular,Vanderbilt,Elon,42,31,1,6.0,7.0,0,0
401403966,2022-09-03,2022,regular,Colorado,TCU,13,38,0,7.0,7.0,0,0
401403967,2022-09-03,2022,regular,San Diego State,Arizona,20,38,0,7.0,7.0,0,0
401403968,2022-09-03,2022,regular,California,UC Davis,34,13,1,7.0,7.0,0,0
401403971,2022-09-03,2022,regular,UCLA,Bowling Green,45,17,1,7.0,7.0,0,0
401404052,2022-09-03,2022,regular,Kansas,Tennessee Tech,56,10,1,7.0,7.0,0,0
401404056,2022-09-03,2022,regular,Kansas State,South Dakota,34,0,1,7.0,7.0,0,0
401404057,2022-09-03,2022,regular,Iowa State,Southeast Missouri State,42,10,1,7.0,7.0,0,0
401404124,2022-09-03,2022,regular,Ohio State,Notre Dame,21,10,1,7.0,7.0,0,0
401404134,2022-09-03,2022,regular,Coastal Carolina,Army,38,28,1,7.0,7.0,0,0
401404147,2022-09-03,2022,regular,UConn,Central Connecticut,28,3,1,7.0,7.0,0,0
401404157,2022-09-03,2022,regular,Southern Miss,Liberty,27,29,0,7.0,7.0,0,0
401405061,2022-09-03,2022,regular,Indiana,Illinois,23,20,1,7.0,7.0,0,0
401405062,2022-09-03,2022,regular,Iowa,South Dakota State,7,3,1,7.0,7.0,0,0
