game_id,date,home_team,away_team,home_score,away_score,home_win,home_starting_pitcher,away_starting_pitcher,home_pitcher_era,home_pitcher_fip,away_pitcher_era,away_pitcher_fip,home_last10_win_pct,away_last10_win_pct,home_last10_run_diff,away_last10_run_diff,home_rest_days,away_rest_days,total_runs
718767,2023-03-30,Seattle Mariners,Cleveland Guardians,3,0,1,Luis Castillo,Shane Bieber,3.34,,3.8,,,,,,,,3
718768,2023-03-30,Houston Astros,Chicago White Sox,2,3,0,Framber Valdez,Dylan Cease,3.45,,4.58,,,,,,,,5
718769,2023-03-30,Oakland Athletics,Los Angeles Angels,2,1,1,Kyle Muller,Shohei Ohtani,7.6,,3.14,,,,,,,,3
718770,2023-03-30,Los Angeles Dodgers,Arizona Diamondbacks,8,2,1,Julio Urías,Zac Gallen,4.6,,3.47,,,,,,,,10
718772,2023-03-30,St. Louis Cardinals,Toronto Blue Jays,9,10,0,Miles Mikolas,Alek Manoah,4.78,,5.87,,,,,,,,19
718773,2023-03-30,Cincinnati Reds,Pittsburgh Pirates,4,5,0,Hunter Greene,Mitch Keller,4.82,,4.21,,,,,,,,9
718774,2023-03-30,Miami Marlins,New York Mets,3,5,0,Sandy Alcantara,Max Scherzer,4.14,,3.77,,,,,,,,8
718775,2023-03-30,Kansas City Royals,Minnesota Twins,0,2,0,Zack Greinke,Pablo López,5.06,,3.66,,,,,,,,2
718776,2023-03-30,Tampa Bay Rays,Detroit Tigers,4,0,1,Shane McClanahan,Eduardo Rodriguez,3.29,,3.3,,,,,,,,4
718777,2023-03-30,Chicago Cubs,Milwaukee Brewers,4,0,1,Marcus Stroman,Corbin Burnes,3.95,,3.39,,,,,,,,4
718778,2023-03-30,San Diego Padres,Colorado Rockies,2,7,0,Blake Snell,Germán Márquez,2.25,,4.95,,,,,,,,9
718779,2023-03-30,Texas Rangers,Philadelphia Phillies,11,7,1,Jacob deGrom,Aaron Nola,2.67,,4.46,,,,,,,,18
718780,2023-03-30,Washington Nationals,Atlanta Braves,2,7,0,Patrick Corbin,Max Fried,5.2,,2.55,,,,,,,,9
718781,2023-03-30,New York Yankees,San Francisco Giants,5,0,1,Gerrit Cole,Logan Webb,2.63,,3.25,,,,,,,,5
718782,2023-03-30,Boston Red Sox,Baltimore Orioles,9,10,0,Corey Kluber,Kyle Gibson,7.04,,4.73,,,,,,,,19
718763,2023-03-31,Seattle Mariners,Cleveland Guardians,4,9,0,Robbie Ray,Hunter Gaddis,8.1,,4.5,,1.0,0.0,3.0,-3.0,1.0,1.0,13
718764,2023-03-31,Houston Astros,Chicago White Sox,6,3,1,Cristian Javier,Lance Lynn,4.56,,5.73,,0.0,1.0,-1.0,1.0,1.0,1.0,9
718765,2023-03-31,Los Angeles Dodgers,Arizona Diamondbacks,1,2,0,Dustin May,Merrill Kelly,2.63,,3.29,,1.0,0.0,6.0,-6.0,1.0,1.0,3
718766,2023-03-31,San Diego Padres,Colorado Rockies,1,4,0,Nick Martinez,Kyle Freeland,3.43,,5.03,,0.0,1.0,-5.0,5.0,1.0,1.0,5
718771,2023-03-31,Miami Marlins,New York Mets,2,1,1,Jesús Luzardo,David Peterson,3.58,,5.03,,0.0,1.0,-2.0,2.0,1.0,1.0,3
718746,2023-04-01,Seattle Mariners,Cleveland Guardians,0,2,0,Logan Gilbert,Aaron Civale,3.73,,3.46,,0.5,0.5,-1.0,1.0,1.0,1.0,2
718749,2023-04-01,Los Angeles Dodgers,Arizona Diamondbacks,10,1,1,Clayton Kershaw,Madison Bumgarner,2.46,,10.26,,0.5,0.5,2.5,-2.5,1.0,1.0,11
718750,2023-04-01,San Diego Padres,Colorado Rockies,8,4,1,Michael Wacha,José Ureña,3.22,,6.45,,0.0,1.0,-4.0,4.0,1.0,1.0,12
718751,2023-04-01,Kansas City Royals,Minnesota Twins,0,2,0,Jordan Lyles,Sonny Gray,6.28,,2.79,,0.0,1.0,-2.0,2.0,2.0,2.0,2
718752,2023-04-01,Texas Rangers,Philadelphia Phillies,16,3,1,Nathan Eovaldi,Zack Wheeler,3.63,,3.61,,1.0,0.0,4.0,-4.0,2.0,2.0,19
718753,2023-04-01,Washington Nationals,Atlanta Braves,1,7,0,Josiah Gray,Spencer Strider,3.91,,3.86,,0.0,1.0,-5.0,5.0,2.0,2.0,8
718754,2023-04-01,Tampa Bay Rays,Detroit Tigers,12,2,1,Zach Eflin,Spencer Turnbull,3.5,,7.26,,1.0,0.0,4.0,-4.0,2.0,2.0,14
718755,2023-04-01,Miami Marlins,New York Mets,2,6,0,Edward Cabrera,Tylor Megill,4.24,,4.7,,0.5,0.5,-0.5,0.5,1.0,1.0,8
718756,2023-04-01,Cincinnati Reds,Pittsburgh Pirates,6,2,1,Nick Lodolo,Rich Hill,6.29,,5.41,,0.0,1.0,-1.0,1.0,2.0,2.0,8
718757,2023-04-01,Oakland Athletics,Los Angeles Angels,1,13,0,Shintaro Fujinami,Patrick Sandoval,7.18,,4.11,,1.0,0.0,1.0,-1.0,2.0,2.0,14
718758,2023-04-01,Chicago Cubs,Milwaukee Brewers,1,3,0,Justin Steele,Brandon Woodruff,3.06,,2.28,,1.0,0.0,4.0,-4.0,2.0,2.0,4
718759,2023-04-01,St. Louis Cardinals,Toronto Blue Jays,4,1,1,Jack Flaherty,Kevin Gausman,4.99,,3.16,,0.0,1.0,-1.0,1.0,2.0,2.0,5
718760,2023-04-01,Houston Astros,Chicago White Sox,6,4,1,José Urquidy,Lucas Giolito,5.29,,4.88,,0.5,0.5,1.0,-1.0,1.0,1.0,10
718761,2023-04-01,Boston Red Sox,Baltimore Orioles,9,8,1,Chris Sale,Dean Kremer,4.3,,4.12,,0.0,1.0,-1.0,1.0,2.0,2.0,17
718762,2023-04-01,New York Yankees,San Francisco Giants,5,7,0,Clarke Schmidt,Alex Cobb,4.64,,3.87,,1.0,0.0,5.0,-5.0,2.0,2.0,12
718733,2023-04-02,San Diego Padres,Colorado Rockies,3,1,1,Seth Lugo,Austin Gomber,3.57,,5.5,,0.3333333333333333,0.6666666666666666,-1.3333333333333333,1.3333333333333333,1.0,1.0,4
718734,2023-04-02,Oakland Athletics,Los Angeles Angels,0,6,0,Ken Waldichuk,Tyler Anderson,5.36,,5.43,,0.5,0.5,-5.5,5.5,1.0,1.0,6
718735,2023-04-02,Seattle Mariners,Cleveland Guardians,5,6,0,Marco Gonzales,Cal Quantrill,5.22,,5.24,,0.3333333333333333,0.6666666666666666,-1.3333333333333333,1.3333333333333333,1.0,1.0,11
718736,2023-04-02,Los Angeles Dodgers,Arizona Diamondbacks,1,2,0,Noah Syndergaard,Zach Davies,6.5,,7.0,,0.6666666666666666,0.3333333333333333,4.666666666666667,-4.666666666666667,1.0,1.0,3
718737,2023-04-02,St. Louis Cardinals,Toronto Blue Jays,9,4,1,Jordan Montgomery,Chris Bassitt,3.2,,3.6,,0.5,0.5,1.0,-1.0,1.0,1.0,13
718738,2023-04-02,Chicago Cubs,Milwaukee Brewers,5,9,0,Jameson Taillon,Eric Lauer,4.84,,6.56,,0.5,0.5,1.0,-1.0,1.0,1.0,14
718739,2023-04-02,Texas Rangers,Philadelphia Phillies,2,1,1,Martín Pérez,Bailey Falter,4.45,,5.36,,1.0,0.0,8.5,-8.5,1.0,1.0,3
