date,home_team,away_team,home_ml,away_ml,odds_line_type
2025-02-20,Los Angeles Dodgers,Chicago Cubs,-170,142,currentLine_median
2025-02-21,Arizona Diamondbacks,Colorado Rockies,-180,146,currentLine_median
2025-02-21,Kansas City Royals,Texas Rangers,-109,-111,currentLine_median
2025-02-21,New York Yankees,Tampa Bay Rays,-155,130,currentLine_median
2025-02-22,Baltimore Orioles,Pittsburgh Pirates,-165,139,currentLine_median
2025-02-22,Chicago Cubs,Chicago White Sox,-152,126,currentLine_median
2025-02-22,Colorado Rockies,Arizona Diamondbacks,120,-146,currentLine_median
2025-02-22,Detroit Tigers,Philadelphia Phillies,-130,110,currentLine_median
2025-02-22,Los Angeles Angels,Seattle Mariners,-110,-110,currentLine_median
2025-02-22,Los Angeles Dodgers,Kansas City Royals,-150,124,currentLine_median
2025-02-22,Miami Marlins,St. Louis Cardinals,130,-157,currentLine_median
2025-02-22,Minnesota Twins,Atlanta Braves,-150,125,currentLine_median
2025-02-22,San Diego Padres,Athletics,-130,110,currentLine_median
2025-02-22,Tampa Bay Rays,Boston Red Sox,-138,117,currentLine_median
2025-02-22,Texas Rangers,San Francisco Giants,-135,114,currentLine_median
2025-02-22,Toronto Blue Jays,New York Yankees,-179,150,currentLine_median
2025-02-23,Atlanta Braves,Tampa Bay Rays,-156,130,currentLine_median
2025-02-23,Boston Red Sox,Toronto Blue Jays,-197,163,currentLine_median
2025-02-23,Chicago Cubs,Texas Rangers,-135,115,currentLine_median
2025-02-23,Cleveland Guardians,Los Angeles Angels,-135,115,currentLine_median
2025-02-23,Kansas City Royals,Chicago White Sox,-191,159,currentLine_median
2025-02-23,Los Angeles Dodgers,San Diego Padres,-172,144,currentLine_median
2025-02-23,New York Yankees,Detroit Tigers,-163,135,currentLine_median
2025-02-23,Philadelphia Phillies,Baltimore Orioles,-130,110,currentLine_median
2025-02-23,Pittsburgh Pirates,Minnesota Twins,-138,116,currentLine_median
2025-02-23,San Francisco Giants,Cincinnati Reds,-160,135,currentLine_median
2025-02-23,Seattle Mariners,Arizona Diamondbacks,-150,125,currentLine_median
2025-02-23,St. Louis Cardinals,Houston Astros,-142,119,currentLine_median
2025-02-24,Arizona Diamondbacks,Cleveland Guardians,-153,128,currentLine_median
2025-02-24,Chicago White Sox,Texas Rangers,-141,119,currentLine_median
2025-02-24,Cincinnati Reds,Los Angeles Dodgers,-116,-104,currentLine_median
2025-02-24,Kansas City Royals,Athletics,-135,115,currentLine_median
2025-02-24,Milwaukee Brewers,Seattle Mariners,-130,110,currentLine_median
2025-02-24,San Diego Padres,Chicago Cubs,-168,140,currentLine_median
2025-02-24,St. Louis Cardinals,New York Mets,-127,106,currentLine_median
2025-02-25,Athletics,San Francisco Giants,-130,110,currentLine_median
2025-02-25,Baltimore Orioles,Detroit Tigers,-160,132,currentLine_median
2025-02-25,Chicago Cubs,Arizona Diamondbacks,-169,142,currentLine_median
2025-02-25,Cleveland Guardians,Milwaukee Brewers,-155,130,currentLine_median
2025-02-25,Colorado Rockies,Chicago White Sox,-146,121,currentLine_median
2025-02-25,Houston Astros,New York Mets,-154,130,currentLine_median
2025-02-25,Miami Marlins,Washington Nationals,-106,-114,currentLine_median
2025-02-25,Minnesota Twins,New York Yankees,-172,142,currentLine_median
2025-02-25,San Diego Padres,Los Angeles Angels,-130,110,currentLine_median
2025-02-25,Tampa Bay Rays,Philadelphia Phillies,-143,120,currentLine_median
2025-02-25,Texas Rangers,Kansas City Royals,-135,114,currentLine_median
2025-02-25,Toronto Blue Jays,St. Louis Cardinals,-199,164,currentLine_median
2025-02-26,Boston Red Sox,Tampa Bay Rays,-157,130,currentLine_median
2025-02-26,Chicago White Sox,San Diego Padres,-108,-112,currentLine_median
2025-02-26,Cleveland Guardians,Texas Rangers,-149,125,currentLine_median
2025-02-26,Detroit Tigers,Minnesota Twins,-163,136,currentLine_median
2025-02-26,Kansas City Royals,Colorado Rockies,-153,127,currentLine_median
2025-02-26,Los Angeles Angels,Cincinnati Reds,-122,101,currentLine_median
2025-02-26,Miami Marlins,New York Mets,121,-143,currentLine_median
2025-02-26,New York Yankees,St. Louis Cardinals,-142,119,currentLine_median
2025-02-26,San Francisco Giants,Chicago Cubs,-155,130,currentLine_median
2025-02-26,Seattle Mariners,Athletics,-135,114,currentLine_median
2025-02-26,Toronto Blue Jays,Philadelphia Phillies,-124,103,currentLine_median
2025-02-26,Washington Nationals,Houston Astros,-141,118,currentLine_median
2025-02-27,Athletics,San Diego Padres,-141,120,currentLine_median
2025-02-27,Baltimore Orioles,Toronto Blue Jays,-219,178,currentLine_median
2025-02-27,Chicago Cubs,Los Angeles Angels,-190,160,currentLine_median
2025-02-27,Chicago White Sox,Cleveland Guardians,-120,100,currentLine_median
2025-02-27,Cincinnati Reds,Arizona Diamondbacks,-137,116,currentLine_median
2025-02-27,Colorado Rockies,Los Angeles Dodgers,107,-127,currentLine_median
2025-02-27,Milwaukee Brewers,Kansas City Royals,-135,115,currentLine_median
2025-02-27,Minnesota Twins,Pittsburgh Pirates,-189,156,currentLine_median
2025-02-27,Philadelphia Phillies,New York Yankees,-142,120,currentLine_median
2025-02-27,St. Louis Cardinals,Miami Marlins,-135,115,currentLine_median
2025-02-27,Washington Nationals,Atlanta Braves,-130,110,currentLine_median
2025-02-28,Arizona Diamondbacks,Kansas City Royals,-150,125,currentLine_median
2025-02-28,Athletics,Cincinnati Reds,-127,106,currentLine_median
2025-02-28,Cleveland Guardians,Colorado Rockies,-154,130,currentLine_median
2025-02-28,Houston Astros,St. Louis Cardinals,-143,120,currentLine_median
2025-02-28,Miami Marlins,Atlanta Braves,-150,124,currentLine_median
