date,home_team,away_team,ou_line,over_odds,under_odds,odds_line_type
2025-02-20,Los Angeles Dodgers,Chicago Cubs,9.0,100,-120,currentLine_median
2025-02-21,Arizona Diamondbacks,Colorado Rockies,10.5,-115,-105,currentLine_median
2025-02-21,Chicago Cubs,Los Angeles Dodgers,10.5,-115,-105,currentLine_median
2025-02-21,Kansas City Royals,Texas Rangers,10.5,-110,-110,currentLine_median
2025-02-21,New York Yankees,Tampa Bay Rays,8.5,-110,-110,currentLine_median
2025-02-21,San Diego Padres,Seattle Mariners,10.5,-120,100,currentLine_median
2025-02-22,Baltimore Orioles,Pittsburgh Pirates,8.5,100,-120,currentLine_median
2025-02-22,Chicago Cubs,Chicago White Sox,10.5,-110,-110,currentLine_median
2025-02-22,Colorado Rockies,Arizona Diamondbacks,10.5,-124,100,currentLine_median
2025-02-22,Detroit Tigers,Philadelphia Phillies,8.5,-105,-115,currentLine_median
2025-02-22,Los Angeles Angels,Seattle Mariners,10.5,-110,-110,currentLine_median
2025-02-22,Los Angeles Dodgers,Kansas City Royals,10.5,-110,-110,currentLine_median
2025-02-22,Miami Marlins,St. Louis Cardinals,8.5,105,-125,currentLine_median
2025-02-22,Minnesota Twins,Atlanta Braves,7.5,-115,-105,currentLine_median
2025-02-22,San Diego Padres,Athletics,10.5,-110,-110,currentLine_median
2025-02-22,Tampa Bay Rays,Boston Red Sox,8.5,-106,-118,currentLine_median
2025-02-22,Texas Rangers,San Francisco Giants,10.5,-110,-110,currentLine_median
2025-02-22,Toronto Blue Jays,New York Yankees,8.5,-110,-110,currentLine_median
2025-02-23,Atlanta Braves,Tampa Bay Rays,8.5,-112,-110,currentLine_median
2025-02-23,Boston Red Sox,Toronto Blue Jays,7.0,-120,100,currentLine_median
2025-02-23,Chicago Cubs,Texas Rangers,10.5,-110,-110,currentLine_median
2025-02-23,Cleveland Guardians,Los Angeles Angels,10.0,-110,-110,currentLine_median
2025-02-23,Kansas City Royals,Chicago White Sox,10.5,-110,-110,currentLine_median
2025-02-23,Los Angeles Dodgers,San Diego Padres,10.0,-110,-110,currentLine_median
2025-02-23,New York Yankees,Detroit Tigers,9.5,-110,-110,currentLine_median
2025-02-23,Philadelphia Phillies,Baltimore Orioles,8.0,-110,-110,currentLine_median
2025-02-23,Pittsburgh Pirates,Minnesota Twins,8.0,100,-120,currentLine_median
2025-02-23,San Francisco Giants,Cincinnati Reds,10.0,-110,-110,currentLine_median
2025-02-23,Seattle Mariners,Arizona Diamondbacks,10.5,-110,-110,currentLine_median
2025-02-23,St. Louis Cardinals,Houston Astros,7.5,-115,-105,currentLine_median
2025-02-24,Arizona Diamondbacks,Cleveland Guardians,10.5,-105,-115,currentLine_median
2025-02-24,Chicago White Sox,Texas Rangers,10.0,-115,-105,currentLine_median
2025-02-24,Cincinnati Reds,Los Angeles Dodgers,10.0,-112,-110,currentLine_median
2025-02-24,Kansas City Royals,Athletics,10.0,-115,-105,currentLine_median
2025-02-24,Milwaukee Brewers,Seattle Mariners,10.0,-115,-105,currentLine_median
2025-02-24,San Diego Padres,Chicago Cubs,10.0,-115,-105,currentLine_median
2025-02-24,St. Louis Cardinals,New York Mets,8.5,-120,100,currentLine_median
2025-02-25,Athletics,San Francisco Giants,10.0,-115,-105,currentLine_median
2025-02-25,Baltimore Orioles,Detroit Tigers,10.5,-120,100,currentLine_median
2025-02-25,Chicago Cubs,Arizona Diamondbacks,10.5,-115,-105,currentLine_median
2025-02-25,Cleveland Guardians,Milwaukee Brewers,10.0,-105,-115,currentLine_median
2025-02-25,Colorado Rockies,Chicago White Sox,10.0,-105,-115,currentLine_median
2025-02-25,Houston Astros,New York Mets,8.5,100,-120,currentLine_median
