game_id,date,season_year,home_team,away_team,home_score,away_score,home_win,status
401558287,2023-07-07,2023,Minnesota Timberwolves,New Orleans Pelicans,102,88,1,Final
401558288,2023-07-07,2023,Milwaukee Bucks,Denver Nuggets,92,85,1,Final
401558289,2023-07-07,2023,Toronto Raptors,Chicago Bulls,74,83,0,Final
401558290,2023-07-07,2023,Houston Rockets,Portland Trail Blazers,100,99,1,Final
401558311,2023-07-07,2023,Brooklyn Nets,Cleveland Cavaliers,97,101,0,Final
401558312,2023-07-07,2023,San Antonio Spurs,Charlotte Hornets,76,68,1,Final
401558313,2023-07-07,2023,Atlanta Hawks,Sacramento Kings,76,80,0,Final
401558314,2023-07-07,2023,Los Angeles Lakers,Golden State Warriors,103,96,1,Final
401558315,2023-07-08,2023,Boston Celtics,Miami Heat,88,99,0,Final
401558316,2023-07-08,2023,Oklahoma City Thunder,Dallas Mavericks,91,80,1,Final
401558317,2023-07-08,2023,Philadelphia 76ers,New York Knicks,110,101,1,Final
401558318,2023-07-08,2023,Orlando Magic,Detroit Pistons,78,89,0,Final
401558319,2023-07-08,2023,Chicago Bulls,Memphis Grizzlies,80,87,0,Final
401558320,2023-07-08,2023,Washington Wizards,Indiana Pacers,83,91,0,Final
401558321,2023-07-08,2023,Phoenix Suns,Milwaukee Bucks,75,84,0,Final
401558322,2023-07-08,2023,Utah Jazz,LA Clippers,105,99,1,Final
401558323,2023-07-09,2023,Cleveland Cavaliers,Toronto Raptors,99,76,1,Final
401558324,2023-07-09,2023,Charlotte Hornets,Los Angeles Lakers,75,93,0,Final
401558325,2023-07-09,2023,Brooklyn Nets,New York Knicks,98,80,1,Final
401558326,2023-07-09,2023,Houston Rockets,Detroit Pistons,113,101,1,Final
401558327,2023-07-09,2023,Washington Wizards,Boston Celtics,103,98,1,Final
401558328,2023-07-09,2023,Portland Trail Blazers,San Antonio Spurs,85,80,1,Final
401558329,2023-07-09,2023,Denver Nuggets,Atlanta Hawks,93,98,0,Final
401558330,2023-07-09,2023,Golden State Warriors,New Orleans Pelicans,86,94,0,Final
401558331,2023-07-10,2023,Cleveland Cavaliers,Memphis Grizzlies,100,77,1,Final
401558332,2023-07-10,2023,Miami Heat,Phoenix Suns,70,73,0,Final
401558333,2023-07-10,2023,Dallas Mavericks,Philadelphia 76ers,111,103,1,Final
401558334,2023-07-10,2023,Orlando Magic,Indiana Pacers,85,108,0,Final
401558335,2023-07-10,2023,Utah Jazz,Minnesota Timberwolves,108,96,1,Final
401558336,2023-07-10,2023,LA Clippers,Sacramento Kings,80,70,1,Final
401558337,2023-07-11,2023,Milwaukee Bucks,Brooklyn Nets,71,92,0,Final
401558338,2023-07-11,2023,Oklahoma City Thunder,Houston Rockets,92,105,0,Final
401558339,2023-07-11,2023,New Orleans Pelicans,Phoenix Suns,82,73,1,Final
401558340,2023-07-11,2023,Charlotte Hornets,Portland Trail Blazers,93,97,0,Final
401558341,2023-07-11,2023,Sacramento Kings,Chicago Bulls,99,107,0,Final
401558342,2023-07-11,2023,San Antonio Spurs,Washington Wizards,96,85,1,Final
401558343,2023-07-12,2023,Memphis Grizzlies,LA Clippers,74,83,0,Final
401558344,2023-07-12,2023,Atlanta Hawks,Minnesota Timberwolves,99,93,1,Final
401558345,2023-07-12,2023,Dallas Mavericks,Golden State Warriors,98,96,1,Final
401558346,2023-07-12,2023,Detroit Pistons,Toronto Raptors,94,90,1,Final
401558347,2023-07-12,2023,Indiana Pacers,Oklahoma City Thunder,87,98,0,Final
401558348,2023-07-12,2023,Orlando Magic,New York Knicks,80,82,0,Final
401558349,2023-07-12,2023,Utah Jazz,Denver Nuggets,96,91,1,Final
401558350,2023-07-12,2023,Boston Celtics,Los Angeles Lakers,95,90,1,Final
401558351,2023-07-13,2023,Chicago Bulls,Cleveland Cavaliers,83,87,0,Final
