fight_id,event_id,event_name,date,season,home_team,away_team,home_win,weight_class,card_segment,home_rest_days,away_rest_days,home_b2b,away_b2b
401262507,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Max Holloway,Calvin Kattar,1,Featherweight,main,168.0,168.0,0,0
401268095,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,David Zawada,Ramazan Emeev,0,Welterweight,prelims1,168.0,168.0,0,0
401271453,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Carlos Felipe,Justin Tafa,1,Heavyweight,prelims1,168.0,168.0,0,0
401275993,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Carlos Condit,Matt Brown,1,Welterweight,main,168.0,168.0,0,0
401275994,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Santiago Ponzinibbio,Li Jingliang,0,Welterweight,main,168.0,168.0,0,0
401275995,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Joaquin Buckley,Alessio Di Chirico,0,Middleweight,main,168.0,168.0,0,0
401275996,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Punahele Soriano,Duško Todorović,1,Middleweight,main,168.0,168.0,0,0
401275998,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Wu Yanan,Joselyne Edwards,0,Women's Bantamweight,prelims1,168.0,168.0,0,0
401275999,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Sarah Moras,Vanessa Melo,0,Women's Bantamweight,prelims1,168.0,168.0,0,0
401276000,600000637,UFC Fight Night: Holloway vs. Kattar,2021-01-16,2021,Jacob Kilburn,Austin Lingo,0,Featherweight,prelims1,168.0,168.0,0,0
401274474,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Michael Chiesa,Neil Magny,1,Welterweight,main,168.0,168.0,0,0
401276001,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Warlley Alves,Mounir Lazzez,1,Welterweight,main,168.0,168.0,0,0
401276002,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Ike Villanueva,Vinicius Moreira,1,Light Heavyweight,main,168.0,168.0,0,0
401276003,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Roxanne Modafferi,Viviane Araújo,0,Women's Flyweight,main,168.0,168.0,0,0
401276004,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Lerone Murphy,Douglas Silva de Andrade,1,Featherweight,main,168.0,168.0,0,0
401276006,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Sumudaerji,Zarrukh Adashev,1,Flyweight,prelims1,168.0,168.0,0,0
401276007,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Dalcha Lungiambula,Markus Perez,1,Middleweight,prelims1,168.0,168.0,0,0
401276008,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Francisco Figueiredo,Jerome Rivera,1,Flyweight,prelims1,168.0,168.0,0,0
401276009,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Mike Davis,Mason Jones,1,Lightweight,prelims1,168.0,168.0,0,0
401276010,600001720,UFC Fight Night: Chiesa vs. Magny,2021-01-20,2021,Matt Schnell,Tyson Nam,1,Flyweight,main,168.0,168.0,0,0
