date,home_team,away_team,home_ml,away_ml
2024-01-13,Magomed Ankalaev,Johnny Walker,-490,380
2024-01-13,Phil Hawes,Brunno Ferreira,110,-130
2024-01-13,Jim Miller,Gabriel Benitez,-120,110
2024-01-13,Ricky Simon,Mario Bautista,-180,150
2024-01-13,Andrei Arlovski,Waldo Cortes Acosta,480,-490
2024-01-13,Marcus McGhee,Gaston Bolaños,-250,205
2024-01-13,Farid Basharat,Taylor Lapilus,-275,225
2024-01-13,Nikolas Motta,Tom Nolan,260,-325
2024-01-13,Joshua Van,Felipe Bunes,-235,195
2024-01-13,Matthew Semelsberger,Preston Parsons,-165,140
2024-01-13,Westin Wilson,Jean Silva,275,-340
